"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HN07","HN07_ATTRIBUTES","HN08","HN08_ATTRIBUTES","HN09","HN09_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","HX07","HX07_ATTRIBUTES","HX08","HX08_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LN07","LN07_ATTRIBUTES","LN08","LN08_ATTRIBUTES","LN09","LN09_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","LX07","LX07_ATTRIBUTES","LX08","LX08_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MN07","MN07_ATTRIBUTES","MN08","MN08_ATTRIBUTES","MN09","MN09_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MX07","MX07_ATTRIBUTES","MX08","MX08_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00218450","1961","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","        80","Z","        57","Z","         5","Z","","","","","","","","","","","","","","","","","","","","","","","","","  35.6"," ,Z,1011, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    669.6"," ,Z","","","","","","","",""
"USC00218450","1962","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","","","","","        99","Z","        58","Z","        10","Z","","","","","","","","","","","","","","","","","","","","","","","","","  55.1"," ,Z,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    885.2"," ,Z","","","","","","","",""
"USC00218450","1963","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    395.5","","     395.5","Z","        90","Z","        48","Z","         4","Z","","","","","        48","Z","       147","Z","        81","Z","       151","Z","         8","Z","","","","","  -30.6","Z,0123, ","","","","","  45.2"," ,Z,0510, ","   35.6","Z,0630, ","-2.8","Z,1029","-2.8","Z,1029","-6.1","Z,1102","-10.0","Z,1123","-10.0","Z,1123","-0.6","Z,0523","-2.8","Z,0418","-8.3","Z,0403","-8.3","Z,0403","-11.1","Z,0321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    531.7"," ,Z","","","      7.49","Z","     12.83","Z","      2.16","Z"
"USC00218450","1964","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    461.7","","     461.7","Z","        91","Z","        59","Z","         6","Z","","","","","        24","Z","       157","Z","        67","Z","       136","Z","        32","Z","","","","","  -28.9","Z,1227, ","","","","","  41.9"," ,Z,0830, ","   36.7","Z,0718, ","0.0","Z,0915","-4.4","Z,1009","-4.4","Z,1009","-9.4","Z,1119","-9.4","Z,1119","-0.6","Z,0418","-5.6","Z,0408","-5.6","Z,0408","-7.2","Z,0404","-8.9","Z,0331","    3978.3","3","","","","","","","","","","","","","","","","","","","    3978.3","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    685.1"," ,Z","","","      8.08","Z","     13.85","Z","      2.30","Z"
"USC00218450","1965","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    250.5","","     250.5","Z","       116","Z","        77","Z","         9","Z","","","","","        40","Z","       160","Z","        78","Z","       120","Z","         6","Z","","","","","  -30.0","Z,0129, ","","","","","  90.9"," ,Z,0601, ","   35.0","Z,0723, ","-3.3","Z,0926","-3.3","Z,0926","-4.4","Z,1104","-8.9","Z,1109","-8.9","Z,1109","-1.7","Z,0510","-2.2","Z,0417","-11.1","Z,0330","-11.1","Z,0330","-11.1","Z,0330","    4726.2","2","","","","","","","","","","","","","","","","","","","    4726.2","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    988.7"," ,Z","","","      6.25","Z","     11.34","Z","      1.16","Z"
"USC00218450","1966","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    375.1","","     375.1","Z","        93","Z","        52","Z","         6","Z","","","","","        39","Z","       167","Z","        84","Z","       122","Z","        12","Z","","","","","  -33.9","Z,0129,+","","","","","  52.1"," ,Z,0806, ","   34.4","Z,0711,+","0.0","Z,1001","-2.8","Z,1016","-5.0","Z,1101","-12.2","Z,1102","-12.2","Z,1102","-2.2","Z,0510","-2.2","Z,0510","-4.4","Z,0509","-7.8","Z,0327","-13.3","Z,0326","    4531.0","0","","","","","","","","","","","","","","","","","","","    4531.0","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    616.7"," ,Z","","","      6.51","Z","     11.93","Z","      1.09","Z"
"USC00218450","1967","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    250.9","","     250.9","Z","        96","Z","        52","Z","         4","Z","","","","","        32","Z","       161","Z","        76","Z","       130","Z","         2","Z","","","","","  -31.7","Z,0118, ","","","","","  58.9"," ,Z,0826, ","   32.2","Z,0721,+","-0.6","Z,0928","-2.2","Z,1019","-7.8","Z,1028","-7.8","Z,1028","-9.4","Z,1107","0.0","Z,0520","-3.9","Z,0504","-5.0","Z,0503","-16.7","Z,0318","-16.7","Z,0318","    4586.7","7","","","","","","","","","","","","","","","","","","","    4586.7","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    610.7"," ,Z","","","      6.54","Z","     11.99","Z","      1.09","Z"
"USC00218450","1968","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    333.9","","     333.9","Z","       129","Z","        70","Z","        11","Z","","","","","        29","Z","       149","Z","        71","Z","       120","Z","         8","Z","","","","","  -30.6","Z,0106, ","","","","","  64.5"," ,Z,1009, ","   36.1","Z,0805, ","-0.6","Z,1004","-2.2","Z,1108","-7.2","Z,1112","-7.2","Z,1112","-8.9","Z,1120","-0.6","Z,0505","-2.8","Z,0425","-6.7","Z,0405","-6.7","Z,0405","-9.4","Z,0324","    4250.4","4","","","","","","","","","","","","","","","","","","","    4250.4","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    961.2"," ,Z","","","      7.63","Z","     12.87","Z","      2.38","Z"
"USC00218450","1969","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    387.9","","     387.9","Z","       112","Z","        58","Z","         2","Z","","","","","        27","Z","       157","Z","        96","Z","       130","Z","         8","Z","","","","","  -27.2","Z,0201,+","","","","","  35.3"," ,Z,0708, ","   35.0","Z,0527, ","0.0","Z,1012","-5.0","Z,1022","-5.0","Z,1022","-7.2","Z,1028","-11.7","Z,1114","0.0","Z,0512","-3.9","Z,0418","-19.4","Z,0331","-19.4","Z,0331","-19.4","Z,0331","    4487.9","9","","","","","","","","","","","","","","","","","","","    4487.9","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    501.4"," ,Z","","","      7.00","Z","     12.22","Z","      1.79","Z"
"USC00218450","1970","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    477.6","","     477.6","Z","       122","Z","        69","Z","         8","Z","","","","","        39","Z","       162","Z","        84","Z","       136","Z","        19","Z","","","","","  -33.3","Z,0118, ","","","","","  57.9"," ,Z,1109, ","   35.0","Z,0629, ","-1.1","Z,1010","-2.8","Z,1107","-4.4","Z,1114","-8.9","Z,1115","-8.9","Z,1115","0.0","Z,0502","-5.6","Z,0410","-5.6","Z,0410","-6.7","Z,0404","-9.4","Z,0402","    4596.7","7","","","","","","","","","","","","","","","","","","","    4596.7","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    863.2"," ,Z","","","      6.79","Z","     12.17","Z","      1.42","Z"
"USC00218450","1971","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    337.6","","     337.6","Z","       120","Z","        63","Z","         7","Z","","","","","        31","Z","       151","Z","        97","Z","       127","Z","         9","Z","","","","","  -28.9","Z,0208, ","","","","","  60.7"," ,Z,1027, ","   35.0","Z,0628,+","0.0","Z,1012","-3.9","Z,1104","-8.3","Z,1106","-8.3","Z,1106","-8.9","Z,1107","0.0","Z,0428","-2.2","Z,0413","-5.6","Z,0405","-6.7","Z,0404","-8.9","Z,0403","    4605.3","3","","","","","","","","","","","","","","","","","","","    4605.3","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    798.8"," ,Z","","","      6.92","Z","     12.12","Z","      1.71","Z"
"USC00218450","1972","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    346.1","","     346.1","Z","       112","Z","        68","Z","         3","Z","","","","","        44","Z","       166","Z","        95","Z","       116","Z","        11","Z","","","","","  -32.8","Z,0115, ","","","","","  36.8"," ,Z,0723, ","   34.4","Z,0820,+","-1.1","Z,0930","-5.6","Z,1017","-5.6","Z,1017","-7.8","Z,1018","-8.9","Z,1019","-1.1","Z,0425","-2.2","Z,0410","-8.3","Z,0408","-8.3","Z,0408","-11.1","Z,0310","    4638.0","0","","","","","","","","","","","","","","","","","","","    4638.0","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    636.2"," ,Z","","","      5.73","Z","     10.77","Z","      0.70","Z"
"USC00218450","1973","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    397.2","","     397.2","Z","       114","Z","        65","Z","         3","Z","","","","","        20","Z","       138","Z","        68","Z","       131","Z","        11","Z","","","","","  -29.4","Z,1231, ","","","","","  45.0"," ,Z,1120, ","   35.0","Z,0611,+","0.0","Z,1030","-5.6","Z,1104","-5.6","Z,1104","-9.4","Z,1105","-9.4","Z,1105","-0.6","Z,0428","-2.8","Z,0416","-6.1","Z,0410","-7.2","Z,0318","-10.6","Z,0226","    4361.4","4","","","","","","","","","","","","","","","","","","","    4361.4","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    611.8"," ,Z","","","      8.30","Z","     13.18","Z","      3.42","Z"
"USC00218450","1974","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    340.2","","     340.2","Z","        94","Z","        44","Z","         4","Z","","","","","        24","Z","       163","Z","        62","Z","       130","Z","        15","Z","","","","","  -31.7","Z,0101, ","","","","","  48.3"," ,Z,0803, ","   36.7","Z,0708, ","-3.3","Z,0922","-3.3","Z,0922","-5.6","Z,1002","-6.7","Z,1115","-10.0","Z,1125","-1.7","Z,0506","-5.0","Z,0408","-5.0","Z,0408","-10.0","Z,0326","-10.0","Z,0326","    4328.9","9","","","","","","","","","","","","","","","","","","","    4328.9","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    539.8"," ,Z","","","      7.40","Z","     12.81","Z","      1.99","Z"
"USC00218450","1975","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    416.3","","     416.3","Z","       117","Z","        59","Z","        10","Z","","","","","        23","Z","       152","Z","       104","Z","       133","Z","        14","Z","","","","","  -27.8","Z,0209, ","","","","","  55.9"," ,Z,0427, ","   35.6","Z,0729, ","-1.7","Z,1016","-3.9","Z,1029","-4.4","Z,1113","-8.3","Z,1121","-10.6","Z,1122","-1.7","Z,0421","-3.9","Z,0411","-5.0","Z,0405","-11.7","Z,0404","-11.7","Z,0404","    4431.4","4","","","","","","","","","","","","","","","","","","","    4431.4","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    856.6"," ,Z","","","      7.16","Z","     12.29","Z","      2.04","Z"
"USC00218450","1976","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    473.2","","     473.2","Z","        81","Z","        35","Z","         1","Z","","","","","        38","Z","       168","Z","        77","Z","       146","Z","        26","Z","","","","","  -30.6","Z,1231, ","","","","","  27.4"," ,Z,0618, ","   36.7","Z,0714, ","-2.8","Z,1006","-2.8","Z,1006","-5.6","Z,1017","-8.9","Z,1027","-8.9","Z,1027","0.0","Z,0507","-2.2","Z,0411","-4.4","Z,0404","-7.8","Z,0322","-9.4","Z,0321","    4058.6","6","","","","","","","","","","","","","","","","","","","    4058.6","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    366.3"," ,Z","","","      7.40","Z","     13.49","Z","      1.30","Z"
"USC00218450","1977","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    385.7","","     385.7","Z","       130","Z","        70","Z","         5","Z","","","","","        37","Z","       142","Z","        83","Z","       156","Z","         8","Z","","","","","  -33.9","Z,0109, ","","","","","  98.0"," ,Z,0831, ","   36.1","Z,0720,+","0.0","Z,1011","-3.3","Z,1110","-6.1","Z,1111","-9.4","Z,1112","-9.4","Z,1112","-2.8","Z,0408","-2.8","Z,0408","-6.7","Z,0406","-6.7","Z,0406","-9.4","Z,0323","    4471.8","8","","","","","","","","","","","","","","","","","","","    4471.8","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    855.0"," ,Z","","","      7.72","Z","     13.06","Z","      2.38","Z"
"USC00218450","1978","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    414.7","","     414.7","Z","       101","Z","        53","Z","         5","Z","","","","","        51","Z","       156","Z","       102","Z","       132","Z","        16","Z","","","","","  -27.2","Z,0202,+","","","","","  82.6"," ,Z,0701, ","   35.0","Z,0908, ","-0.6","Z,1008","-2.2","Z,1014","-6.7","Z,1115","-6.7","Z,1115","-13.9","Z,1119","-1.1","Z,0501","-3.3","Z,0421","-5.6","Z,0326","-7.2","Z,0324","-11.1","Z,0317","    4671.8","8","","","","","","","","","","","","","","","","","","","    4671.8","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    774.0"," ,Z","","","      6.63","Z","     12.14","Z","      1.11","Z"
"USC00218450","1979","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    295.6","","     295.6","Z","       114","Z","        64","Z","         7","Z","","","","","        40","Z","       167","Z","        89","Z","       117","Z","         5","Z","","","","","  -30.6","Z,0205, ","","","","","  50.5"," ,Z,0826, ","   33.9","Z,0606, ","-1.1","Z,1007","-2.8","Z,1012","-4.4","Z,1107","-8.9","Z,1108","-8.9","Z,1108","0.0","Z,0512","-2.8","Z,0428","-4.4","Z,0409","-14.4","Z,0406","-14.4","Z,0406","    4960.4","4","","","","","","","","","","","","","","","","","","","    4960.4","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    849.4"," ,Z","","","      5.85","Z","     11.08","Z","      0.61","Z"
"USC00218450","1980","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    414.1","","     414.1","Z","        99","Z","        46","Z","         5","Z","","","","","        35","Z","       160","Z","        72","Z","       139","Z","        18","Z","","","","","  -27.2","Z,0126, ","","","","","  50.8"," ,Z,0716, ","   36.7","Z,0714, ","-3.3","Z,1012","-3.3","Z,1012","-5.6","Z,1028","-6.7","Z,1029","-9.4","Z,1124","-2.2","Z,0424","-2.2","Z,0424","-5.6","Z,0414","-7.2","Z,0325","-12.2","Z,0314","    4315.7","7","","","","","","","","","","","","","","","","","","","    4315.7","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    621.7"," ,Z","","","      7.49","Z","     13.11","Z","      1.86","Z"
"USC00218450","1981","44.9902","-93.17995","295.7","UNIVERSITY OF MN ST. PAUL, MN US","    294.9","","     294.9","Z","       113","Z","        62","Z","         6","Z","","","","","        23","Z","       140","Z","        61","Z","       127","Z","         3","Z","","","","","  -30.0","Z,0211, ","","","","","  52.3"," ,Z,0711, ","   32.8","Z,0706, ","-2.2","Z,1002","-2.2","Z,1002","-5.6","Z,1023","-7.2","Z,1109","-13.3","Z,1121","-0.6","Z,0511","-3.3","Z,0414","-6.1","Z,0321","-6.7","Z,0308","-9.4","Z,0307","    3948.6","6","","","","","","","","","","","","","","","","","","","    3948.6","Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    755.5"," ,Z","","","      8.26","Z","     13.57","Z","      2.95","Z"
